scientific_name,latitude,longitude
Bactris gasipaes,3.976222,-76.184472
Bactris gasipaes,-0.956542,-77.860912
Bactris gasipaes,0.183,-78.918167
Bactris gasipaes,0.123425,-78.620453
Bactris gasipaes,-0.4,-76.5333
Bactris gasipaes,0.183056,-78.912222
Bactris gasipaes,-0.320967,-78.95149
Bactris gasipaes,0.183056,-78.910833
Bactris gasipaes,-0.862441,-77.817915
Bactris gasipaes,-0.876667,-77.723056
Bactris gasipaes,-1.732811,-77.502221
Bactris gasipaes,-0.935412,-77.484913
Bactris gasipaes,-0.771111,-77.774444
Bactris gasipaes,-0.862525,-77.817903
Bactris gasipaes,-0.934237,-77.484678
Bactris gasipaes,-0.945386,-77.8483
Bactris gasipaes,-0.934112,-77.484656
Bactris gasipaes,-0.934184,-77.484719
Bactris gasipaes,-0.935238,-77.484884
Bactris gasipaes,-0.935116,-77.484878
Bactris gasipaes,-1.731609,-77.110349
Bactris gasipaes,-0.081197,-76.157733
Bactris gasipaes,-0.618168,-76.991501
Bactris gasipaes,-0.77133,-77.77409
Bactris gasipaes,-0.71377,-77.72102
Bactris gasipaes,-0.77272,-77.77869
Bactris gasipaes,-0.771958,-77.773763
Bactris gasipaes,-0.75048,-77.81812
Bactris gasipaes,-0.747529,-77.815998
Bactris gasipaes,-0.771958,-77.773763
Bactris gasipaes,-0.75173,-77.81797
Bactris gasipaes,0.525274,-79.201582
Bactris gasipaes,-0.749443,-77.787019
Bactris gasipaes,-0.83103,-77.77307
Bactris gasipaes,0.18308,-78.91812
Bactris gasipaes,-12.62,-72.25
Bactris gasipaes,-0.408445,-76.998797
Bactris gasipaes,-8.352887,-74.538131
Bactris gasipaes,-1.731613,-77.11039
Bactris gasipaes,-6.583743,-76.140874
Bactris gasipaes,-11.198837,-74.640847
Bactris gasipaes,3.528076,-76.497989
Bactris gasipaes,-1.045833,-77.711667
Bactris gasipaes,-2.280515,-78.117608
Bactris gasipaes,4.659922,-72.705058
Bactris gasipaes,-1.948091,-77.99523
Bactris gasipaes,-1.730662,-77.109161
Bactris gasipaes,0.12336,-78.62068
Bactris gasipaes,-0.23419,-79.442501
Bactris gasipaes,-0.235304,-79.166404
Bactris gasipaes,-1.041118,-77.79214
Bactris gasipaes,-1.539854,-78.181999
Bactris gasipaes,-2.36768,-78.191952
Bactris gasipaes,-3.821889,-70.252665
Bactris gasipaes,-3.818884,-70.340293
Bactris gasipaes,-3.82452,-70.253402
Bactris gasipaes,-3.824927,-70.252967
Bactris gasipaes,-3.819362,-70.345485
Bactris gasipaes,2.245213,-75.857021
Bactris gasipaes,-4.010749,-69.968001
Bactris gasipaes,-3.228751,-72.988743
Bactris gasipaes,4.043357,-73.638803
Bactris gasipaes,1.299663,-70.225992
Bactris gasipaes,6.840688,-73.731469
Bactris gasipaes,0.430997,-76.835142
Bactris gasipaes,-4.02663,-78.899765
Bactris gasipaes,6.3095,-75.063239
Bactris gasipaes,-12.906047,-71.399982
Bactris gasipaes,5.201258,-75.866592
Bactris gasipaes,-12.86014,-71.382397
Bactris gasipaes,-3.626414,-70.409088
Bactris gasipaes,-12.275272,-70.813482
Bactris gasipaes,9.629604,-75.346835
Bactris gasipaes,0.466225,-76.323211
Bactris gasipaes,0.466241,-76.323446
Bactris gasipaes,0.466742,-76.323339
Bactris gasipaes,0.477891,-76.32048
Bactris gasipaes,0.477914,-76.32047
Bactris gasipaes,0.477884,-76.320501
Bactris gasipaes,0.466225,-76.323211
Bactris gasipaes,0.466241,-76.323446
Bactris gasipaes,0.466742,-76.323339
Bactris gasipaes,0.476264,-76.322591
Bactris gasipaes,0.466241,-76.323446
Bactris gasipaes,0.466225,-76.323211
Bactris gasipaes,0.466742,-76.323339
Bactris gasipaes,0.476264,-76.322591
Bactris gasipaes,0.476264,-76.322591
Bactris gasipaes,5.595372,-74.942038
Bactris gasipaes,5.595372,-74.942038
Bactris gasipaes,5.595372,-74.942038
Bactris gasipaes,5.595372,-74.942038
Bactris gasipaes,5.563866,-74.923571
Bactris gasipaes,5.560605,-74.900764
Bactris gasipaes,5.560605,-74.900764
Bactris gasipaes,5.560605,-74.900764
Bactris gasipaes,5.560605,-74.900764
Bactris gasipaes,5.560605,-74.900764
Bactris gasipaes,10.313333,-68.227783
Bactris gasipaes,4.291368,-72.874985
Bactris gasipaes,4.294425,-72.876715
Bactris gasipaes,0.624056,-76.999333
Bactris gasipaes,4.222543,-72.474285
Bactris gasipaes,4.222493,-72.474424
Bactris gasipaes,6.91563,-71.53085
Bactris gasipaes,6.93892,-71.53342
Bactris gasipaes,6.93892,-71.53342
Bactris gasipaes,5.689439,-72.130052
Bactris gasipaes,5.821029,-72.164873
Bactris gasipaes,5.821029,-72.164873
Bactris gasipaes,5.821029,-72.164873
Bactris gasipaes,5.821029,-72.164873
Bactris gasipaes,5.821029,-72.164873
Bactris gasipaes,5.77675,-72.14366
Bactris gasipaes,5.77675,-72.14366
Bactris gasipaes,5.77675,-72.14366
Bactris gasipaes,5.710814,-72.171006
Bactris gasipaes,5.532292,-72.225257
Bactris gasipaes,5.500488,-72.175729
Bactris gasipaes,5.870031,-72.05648
Bactris gasipaes,5.517776,-72.182016
Bactris gasipaes,5.906221,-72.049881
Bactris gasipaes,5.668647,-72.20842
Bactris gasipaes,5.668647,-72.20842
Bactris gasipaes,5.668238,-72.208553
Bactris gasipaes,5.668238,-72.208553
Bactris gasipaes,5.668238,-72.208553
Bactris gasipaes,5.668238,-72.208553
Bactris gasipaes,0.430565,-76.835323
Bactris gasipaes,-12.913757,-69.517813
Bactris gasipaes,-0.852718,-77.791757
Bactris gasipaes,-0.371105,-79.655914
Bactris gasipaes,-0.356354,-78.838447
Bactris gasipaes,-0.434496,-79.949923
Bactris gasipaes,-0.715848,-77.719236
Bactris gasipaes,-1.524952,-78.012937
Bactris gasipaes,1.081549,-76.670239
Bactris gasipaes,0.18308,-78.91812
Bactris gasipaes,0.18308,-78.91812
Bactris gasipaes,-1.513847,-77.978989
Bactris gasipaes,-12.9965,-73.539809
Bactris gasipaes,-3.272772,-78.514947
Bactris gasipaes,-0.59,-79.36
Bactris gasipaes,-0.59,-79.36
Bactris gasipaes,-0.59,-79.36
Bactris gasipaes,-0.59,-79.36
Bactris gasipaes,-0.59,-79.36
Bactris gasipaes,-0.59,-79.36
Bactris gasipaes,-0.59,-79.36
Bactris gasipaes,-0.59,-79.36
Bactris gasipaes,-0.59,-79.36
