scientific_name,latitude,longitude,type,source,countryCode
Bactris gasipaes,3.976222,-76.184472,H,GBIF,COL
Bactris gasipaes,-0.956542,-77.860912,H,GBIF,ECU
Bactris gasipaes,0.183,-78.918167,H,GBIF,ECU
Bactris gasipaes,0.123425,-78.620453,H,GBIF,ECU
Bactris gasipaes,-0.4,-76.5333,H,GBIF,ECU
Bactris gasipaes,0.183056,-78.912222,H,GBIF,ECU
Bactris gasipaes,-0.320967,-78.95149,H,GBIF,ECU
Bactris gasipaes,0.183056,-78.910833,H,GBIF,ECU
Bactris gasipaes,-0.862441,-77.817915,H,GBIF,ECU
Bactris gasipaes,-0.876667,-77.723056,H,GBIF,ECU
Bactris gasipaes,-1.732811,-77.502221,H,GBIF,ECU
Bactris gasipaes,-0.935412,-77.484913,H,GBIF,ECU
Bactris gasipaes,-0.771111,-77.774444,H,GBIF,ECU
Bactris gasipaes,-0.862525,-77.817903,H,GBIF,ECU
Bactris gasipaes,-0.934237,-77.484678,H,GBIF,ECU
Bactris gasipaes,-0.945386,-77.8483,H,GBIF,ECU
Bactris gasipaes,-0.934112,-77.484656,H,GBIF,ECU
Bactris gasipaes,-0.934184,-77.484719,H,GBIF,ECU
Bactris gasipaes,-0.935238,-77.484884,H,GBIF,ECU
Bactris gasipaes,-0.935116,-77.484878,H,GBIF,ECU
Bactris gasipaes,-1.731609,-77.110349,H,GBIF,ECU
Bactris gasipaes,-0.081197,-76.157733,H,GBIF,ECU
Bactris gasipaes,-0.618168,-76.991501,H,GBIF,ECU
Bactris gasipaes,-0.77133,-77.77409,H,GBIF,ECU
Bactris gasipaes,-0.71377,-77.72102,H,GBIF,ECU
Bactris gasipaes,-0.77272,-77.77869,H,GBIF,ECU
Bactris gasipaes,-0.771958,-77.773763,H,GBIF,ECU
Bactris gasipaes,-0.75048,-77.81812,H,GBIF,ECU
Bactris gasipaes,-0.747529,-77.815998,H,GBIF,ECU
Bactris gasipaes,-0.771958,-77.773763,H,GBIF,ECU
Bactris gasipaes,-0.75173,-77.81797,H,GBIF,ECU
Bactris gasipaes,0.525274,-79.201582,H,GBIF,ECU
Bactris gasipaes,-0.749443,-77.787019,H,GBIF,ECU
Bactris gasipaes,-0.83103,-77.77307,H,GBIF,ECU
Bactris gasipaes,0.18308,-78.91812,H,GBIF,ECU
Bactris gasipaes,-12.62,-72.25,H,GBIF,PER
Bactris gasipaes,-0.408445,-76.998797,H,GBIF,ECU
Bactris gasipaes,-8.352887,-74.538131,H,GBIF,PER
Bactris gasipaes,-1.731613,-77.11039,H,GBIF,ECU
Bactris gasipaes,-6.583743,-76.140874,H,GBIF,PER
Bactris gasipaes,-11.198837,-74.640847,H,GBIF,PER
Bactris gasipaes,3.528076,-76.497989,H,GBIF,COL
Bactris gasipaes,-1.045833,-77.711667,H,GBIF,ECU
Bactris gasipaes,-2.280515,-78.117608,H,GBIF,ECU
Bactris gasipaes,4.659922,-72.705058,H,GBIF,COL
Bactris gasipaes,-1.948091,-77.99523,H,GBIF,ECU
Bactris gasipaes,-1.730662,-77.109161,H,GBIF,ECU
Bactris gasipaes,0.12336,-78.62068,H,GBIF,ECU
Bactris gasipaes,-0.23419,-79.442501,H,GBIF,ECU
Bactris gasipaes,-0.235304,-79.166404,H,GBIF,ECU
Bactris gasipaes,-1.041118,-77.79214,H,GBIF,ECU
Bactris gasipaes,-1.539854,-78.181999,H,GBIF,ECU
Bactris gasipaes,-2.36768,-78.191952,H,GBIF,ECU
Bactris gasipaes,-3.821889,-70.252665,H,GBIF,COL
Bactris gasipaes,-3.818884,-70.340293,H,GBIF,PER
Bactris gasipaes,-3.82452,-70.253402,H,GBIF,COL
Bactris gasipaes,-3.824927,-70.252967,H,GBIF,COL
Bactris gasipaes,-3.819362,-70.345485,H,GBIF,PER
Bactris gasipaes,2.245213,-75.857021,H,GBIF,COL
Bactris gasipaes,-4.010749,-69.968001,H,GBIF,COL
Bactris gasipaes,-3.228751,-72.988743,H,GBIF,PER
Bactris gasipaes,4.043357,-73.638803,H,GBIF,COL
Bactris gasipaes,1.299663,-70.225992,H,GBIF,COL
Bactris gasipaes,6.840688,-73.731469,H,GBIF,COL
Bactris gasipaes,0.430997,-76.835142,H,GBIF,COL
Bactris gasipaes,-4.02663,-78.899765,H,GBIF,ECU
Bactris gasipaes,6.3095,-75.063239,H,GBIF,COL
Bactris gasipaes,-12.906047,-71.399982,H,GBIF,PER
Bactris gasipaes,5.201258,-75.866592,H,GBIF,COL
Bactris gasipaes,-12.86014,-71.382397,H,GBIF,PER
Bactris gasipaes,-3.626414,-70.409088,H,GBIF,COL
Bactris gasipaes,-12.275272,-70.813482,H,GBIF,PER
Bactris gasipaes,9.629604,-75.346835,H,GBIF,COL
Bactris gasipaes,0.466225,-76.323211,H,GBIF,COL
Bactris gasipaes,0.466241,-76.323446,H,GBIF,COL
Bactris gasipaes,0.466742,-76.323339,H,GBIF,COL
Bactris gasipaes,0.477891,-76.32048,H,GBIF,COL
Bactris gasipaes,0.477914,-76.32047,H,GBIF,COL
Bactris gasipaes,0.477884,-76.320501,H,GBIF,COL
Bactris gasipaes,0.466225,-76.323211,H,GBIF,COL
Bactris gasipaes,0.466241,-76.323446,H,GBIF,COL
Bactris gasipaes,0.466742,-76.323339,H,GBIF,COL
Bactris gasipaes,0.476264,-76.322591,H,GBIF,COL
Bactris gasipaes,0.466241,-76.323446,H,GBIF,COL
Bactris gasipaes,0.466225,-76.323211,H,GBIF,COL
Bactris gasipaes,0.466742,-76.323339,H,GBIF,COL
Bactris gasipaes,0.476264,-76.322591,H,GBIF,COL
Bactris gasipaes,0.476264,-76.322591,H,GBIF,COL
Bactris gasipaes,5.595372,-74.942038,H,GBIF,COL
Bactris gasipaes,5.595372,-74.942038,H,GBIF,COL
Bactris gasipaes,5.595372,-74.942038,H,GBIF,COL
Bactris gasipaes,5.595372,-74.942038,H,GBIF,COL
Bactris gasipaes,5.563866,-74.923571,H,GBIF,COL
Bactris gasipaes,5.560605,-74.900764,H,GBIF,COL
Bactris gasipaes,5.560605,-74.900764,H,GBIF,COL
Bactris gasipaes,5.560605,-74.900764,H,GBIF,COL
Bactris gasipaes,5.560605,-74.900764,H,GBIF,COL
Bactris gasipaes,5.560605,-74.900764,H,GBIF,COL
Bactris gasipaes,10.313333,-68.227783,H,GBIF,VEN
Bactris gasipaes,4.291368,-72.874985,H,GBIF,COL
Bactris gasipaes,4.294425,-72.876715,H,GBIF,COL
Bactris gasipaes,0.624056,-76.999333,H,GBIF,COL
Bactris gasipaes,4.222543,-72.474285,H,GBIF,COL
Bactris gasipaes,4.222493,-72.474424,H,GBIF,COL
Bactris gasipaes,6.91563,-71.53085,H,GBIF,COL
Bactris gasipaes,6.93892,-71.53342,H,GBIF,COL
Bactris gasipaes,6.93892,-71.53342,H,GBIF,COL
Bactris gasipaes,5.689439,-72.130052,H,GBIF,COL
Bactris gasipaes,5.821029,-72.164873,H,GBIF,COL
Bactris gasipaes,5.821029,-72.164873,H,GBIF,COL
Bactris gasipaes,5.821029,-72.164873,H,GBIF,COL
Bactris gasipaes,5.821029,-72.164873,H,GBIF,COL
Bactris gasipaes,5.821029,-72.164873,H,GBIF,COL
Bactris gasipaes,5.77675,-72.14366,H,GBIF,COL
Bactris gasipaes,5.77675,-72.14366,H,GBIF,COL
Bactris gasipaes,5.77675,-72.14366,H,GBIF,COL
Bactris gasipaes,5.710814,-72.171006,H,GBIF,COL
Bactris gasipaes,5.532292,-72.225257,H,GBIF,COL
Bactris gasipaes,5.500488,-72.175729,H,GBIF,COL
Bactris gasipaes,5.870031,-72.05648,H,GBIF,COL
Bactris gasipaes,5.517776,-72.182016,H,GBIF,COL
Bactris gasipaes,5.906221,-72.049881,H,GBIF,COL
Bactris gasipaes,5.668647,-72.20842,H,GBIF,COL
Bactris gasipaes,5.668647,-72.20842,H,GBIF,COL
Bactris gasipaes,5.668238,-72.208553,H,GBIF,COL
Bactris gasipaes,5.668238,-72.208553,H,GBIF,COL
Bactris gasipaes,5.668238,-72.208553,H,GBIF,COL
Bactris gasipaes,5.668238,-72.208553,H,GBIF,COL
Bactris gasipaes,0.430565,-76.835323,H,GBIF,COL
Bactris gasipaes,-12.913757,-69.517813,H,GBIF,PER
Bactris gasipaes,-0.852718,-77.791757,H,GBIF,ECU
Bactris gasipaes,-0.371105,-79.655914,H,GBIF,ECU
Bactris gasipaes,-0.356354,-78.838447,H,GBIF,ECU
Bactris gasipaes,-0.434496,-79.949923,H,GBIF,ECU
Bactris gasipaes,-0.715848,-77.719236,H,GBIF,ECU
Bactris gasipaes,-1.524952,-78.012937,H,GBIF,ECU
Bactris gasipaes,1.081549,-76.670239,H,GBIF,COL
Bactris gasipaes,0.18308,-78.91812,H,GBIF,ECU
Bactris gasipaes,0.18308,-78.91812,H,GBIF,ECU
Bactris gasipaes,-1.513847,-77.978989,H,GBIF,ECU
Bactris gasipaes,-12.9965,-73.539809,H,GBIF,PER
Bactris gasipaes,-3.272772,-78.514947,H,GBIF,ECU
Bactris gasipaes,-0.59,-79.36,H,GBIF,ECU
Bactris gasipaes,-0.59,-79.36,H,GBIF,ECU
Bactris gasipaes,-0.59,-79.36,H,GBIF,ECU
Bactris gasipaes,-0.59,-79.36,H,GBIF,ECU
Bactris gasipaes,-0.59,-79.36,H,GBIF,ECU
Bactris gasipaes,-0.59,-79.36,H,GBIF,ECU
Bactris gasipaes,-0.59,-79.36,H,GBIF,ECU
Bactris gasipaes,-0.59,-79.36,H,GBIF,ECU
Bactris gasipaes,-0.59,-79.36,H,GBIF,ECU
